Exland, Exposure to risk (period 1x1), 	Last modified: 01 Jan 2018;  Methods Protocol: vY (2017)

  Year          Age             Female            Male           Total
  2016         106                17.61            5.28           22.89
  2016         107                 8.80            2.64           11.44
  2016         108                 5.28            0.88            6.16
  2016         109                 8.80            1.76           10.56
  2016         110+                0.88            0.26            1.14
  2017           0            379512.40       404755.19       784267.59
  2017           1            380556.93       400577.08       781134.01
  2017           2            380382.84       401273.43       781656.27
  2017           3            372548.87       392569.02       765117.89
  2017           4            360362.69       379512.40       739875.09
  2017           5            356010.48       374289.75       730300.23
  2017           6            354269.60       372548.87       726818.47
  2017           7            363844.45       382994.16       746838.61
  2017           8            366455.78       385605.49       752061.27
  2017           9            369067.10       387346.37       756413.47
  2017          10            359492.25       376901.07       736393.32
  2017          11            344694.75       362974.01       707668.76
  2017          12            343824.30       363409.23       707233.53
  2017          13            338601.66       356880.92       695482.58
  2017          14            331638.13       349046.95       680685.08
  2017          15            332073.35       350787.83       682861.18
  2017          16            339472.10       357751.36       697223.46
  2017          17            359492.25       378641.96       738134.21
  2017          18            415200.49       436091.08       851291.57
  2017          19            451759.02       472649.61       924408.63
  2017          20            483094.91       503115.06       986209.97
  2017          21            526616.97       549248.45      1075865.42
  2017          22            552730.21       579713.89      1132444.10
  2017          23            571009.48       601474.92      1172484.40
  2017          24            583195.66       618013.31      1201208.97
  2017          25            591029.63       631069.93      1222099.56
  2017          26            597993.16       638903.90      1236897.06
  2017          27            589288.74       629329.04      1218617.78
  2017          28            577102.57       611920.22      1189022.79
  2017          29            565786.83       597993.16      1163779.99
  2017          30            550118.89       582325.21      1132444.10
  2017          31            531839.62       564045.95      1095885.57
  2017          32            511819.47       543155.36      1054974.83
  2017          33            503115.06       532710.06      1035825.12
  2017          34            492669.76       519653.44      1012323.20
  2017          35            486576.67       508337.71       994914.38
  2017          36            481354.03       497021.97       978376.00
  2017          37            479613.14       492669.76       972282.90
  2017          38            477872.26       491799.32       969671.58
  2017          39            476131.38       490928.88       967060.26
  2017          40            474390.50       491364.10       965754.60
  2017          41            451759.02       471779.17       923538.19
  2017          42            414330.05       434350.20       848680.25
  2017          43            402143.87       420423.14       822567.01
  2017          44            332508.57       345565.19       678073.76
  2017          45            382123.72       396050.78       778174.50
  2017          46            442184.17       460463.44       902647.61
  2017          47            439572.84       459592.99       899165.83
  2017          48            482224.47       503115.06       985339.53
  2017          49            546637.12       567527.71      1114164.83
  2017          50            560564.18       579713.89      1140278.07
  2017          51            540544.03       557082.42      1097626.45
  2017          52            508337.71       522264.77      1030602.48
  2017          53            490058.44       500503.73       990562.17
  2017          54            482224.47       488317.56       970542.03
  2017          55            463074.76       467426.97       930501.73
  2017          56            408236.96       409977.84       818214.80
  2017          57            369067.10       366455.78       735522.88
  2017          58            376901.07       369067.10       745968.17
  2017          59            396921.22       382123.72       779044.94
  2017          60            406496.08       385605.49       792101.57
  2017          61            404755.19       376901.07       781656.26
  2017          62            399532.55       354269.60       753802.15
  2017          63            399097.33       319887.17       718984.50
  2017          64            411718.72       298561.36       710280.08
  2017          65            409977.84       270707.24       680685.08
  2017          66            402143.87       247205.32       649349.19
  2017          67            408672.18       248075.76       656747.94
  2017          68            428257.11       255039.29       683296.40
  2017          69            436091.08       249816.65       685907.73
  2017          70            377771.51       211517.23       589288.74
  2017          71            350787.83       146234.13       497021.96
  2017          72            201942.38       110546.04       312488.42
  2017          73            205424.14       109675.60       315099.74
  2017          74            246334.88       127084.43       373419.31
  2017          75            313358.86       156679.43       470038.29
  2017          76            343824.30       168865.61       512689.91
  2017          77            334249.45       161902.08       496151.53
  2017          78            312488.42       147104.58       459593.00
  2017          79            291597.83       131436.63       423034.46
  2017          80            279411.65       120120.90       399532.55
  2017          81            257650.62       107934.72       365585.34
  2017          82            230666.94        94878.10       325545.04
  2017          83            203683.26        80951.04       284634.30
  2017          84            174958.70        68764.86       243723.56
  2017          85            147975.02        57449.12       205424.14
  2017          86            125343.54        46133.39       171476.93
  2017          87            104452.95        36558.53       141011.48
  2017          88             86173.69        28724.56       114898.25
  2017          89             67023.98        20890.59        87914.57
  2017          90             51356.04        14797.50        66153.54
  2017          91             39169.86        10445.30        49615.16
  2017          92             29595.00         6963.53        36558.53
  2017          93             20890.59         5222.65        26113.24
  2017          94             14797.50         3481.77        18279.27
  2017          95              9574.85         2176.10        11750.95
  2017          96              6093.09         1392.71         7485.80
  2017          97              4352.21          870.44         5222.65
  2017          98              2611.32          609.31         3220.63
  2017          99              1740.88          435.22         2176.10
  2017         100               870.44          217.61         1088.05
  2017         101               435.22          104.45          539.67
  2017         102               217.61           52.23          269.84
  2017         103               130.57           26.11          156.68
  2017         104                78.34           17.41           95.75
  2017         105                43.52            8.70           52.22
  2017         106                17.41            5.22           22.63
  2017         107                 8.70            2.61           11.31
  2017         108                 5.22            0.87            6.09
  2017         109                 8.70            1.74           10.44
  2017         110+                0.87            0.26            1.13
